flow_duration,Header_Length,Protocol Type,Duration,Rate,Drate,fin_flag_number,syn_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,Tot sum,Min,Max,AVG,Tot size,IAT,Covariance,Variance,category
12.949562907218931,158643.0,13.7,82.7,17.54652609306633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,218.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23376.8,50.0,8754.0,1559.162809810159,546.2,166521922.82698742,5346518.046150951,1.0,Benign
60.04604475498199,4089125.3,7.1,216.7,61.4620595572646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8,0.0,145.6,3518.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20928.2,66.0,4410.0,1391.4831267854952,203.2,166521792.6562157,1493402.1578575145,1.0,Benign
26.51920852661133,20542.7,9.3,126.1,4.171303502927389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.7,115.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14707.6,66.0,3087.0,979.9753940976464,110.0,166522316.68099588,1014622.361816026,1.0,Benign
29.98744010925293,1995245.0,6.0,232.0,68.61205054129896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,108.0,2057.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8069.0,66.0,2962.0,537.2163306774065,66.0,166520900.5115835,747439.1385957052,1.0,Benign
4.996281599998474,978127.0,6.0,215.2,170.42642719671375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,28.0,850.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2739.0,66.0,1514.0,180.7611727849034,83.8,166517771.9455405,129703.02876593077,1.0,Benign
34.62667367458344,849400.5,7.0,101.2,51.85271023800209,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,246.0,1192.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1337.4,61.2,828.0,199.8926587301588,254.2,0.0134752988815307,109749.89833936444,0.8,Benign
14.725856280326845,23768.4,6.0,138.2,38.66950735081483,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,1.5,59.8,126.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,653.9,87.6,288.0,146.08765873015872,95.5,0.0061820983886718,6130.229363173973,0.9,Benign
0.4977284908294678,5042.8,12.6,99.4,50.39512971903518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,3.4,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2291.9,66.0,739.0,149.80035257570086,96.8,166521313.7124305,27875.20468438606,1.0,Benign
9.9371821641922,329564.0,6.0,80.3,197.4127314156517,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8,0.0,63.1,391.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19931.0,60.0,2962.0,1285.4683372922227,1224.4,166525085.65445212,834732.9258445853,1.0,Benign
64.20826456546783,4223197.5,7.1,197.6,57.14703121653584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,158.4,4016.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3510.1,383.5,2962.0,968.0474206349204,383.5,0.0025901079177856,1078605.229873945,0.9,Benign
